opis_id,name,address,city,state,retail_price,latitude,longitude
7,WOODSHED OF BIG CABIN,"I-44, EXIT 283 & US-69",Big Cabin,OK,3.00733333,36.534000,-95.224600
9,KWIK TRIP #796,"I-94, EXIT 143 & US-12 & SR-21",Tomah,WI,3.28733333,43.983800,-90.473300
20,PILOT TRAVEL CENTER #1243,"I-8, EXIT 119 & SR-85",Gila Bend,AZ,3.899,32.930600,-112.746800
20,PILOT #1243,"I-8, EXIT 119 & SR-85",Gila Bend,AZ,3.899,32.930600,-112.746800
28,LITTLEFIELD EXPRESS #2,"I-540, EXIT 12 & US-71",Fort Smith,AR,3.399,35.367131,-94.396023
35,ACI TRUCK STOP,US-46,Columbia,NJ,3.079,40.938800,-75.055000
36,SHENANDOAH TRUCK CENTER,"I-81, EXIT 273 & SR-703/SR-292",Mount Jackson,VA,2.899,38.785700,-78.680300
44,CIRCLE K #2612042,"I-35,  EXIT 271",Jarrell,TX,2.919,30.811900,-97.594200
46,PETRO STOPPING CENTER #348,"I-85,  EXIT 22 & CR-138",Shorter,AL,3.154,32.383600,-85.916200
49,TA SEYMOUR TRAVEL CENTER,"I-65, EXIT 50 & US-50 & US-31",Seymour,IN,3.959,38.957100,-85.882500
50,TA COUNCIL BLUFFS TRAVEL CENTER,"I-29 & I-80, EXIT 3",Council Bluffs,IA,3.72566666,41.251967,-95.853667
56,TOPS TRUCK STOP,"I-94, EXIT 182 & US-83",Sterling,ND,3.51566666,46.843600,-100.274400
75,Good 2 Go #709,US-50,Montrose,CO,3.424,38.437700,-107.899767
77,OASIS TRAVEL PLAZA,US-13,Laurel,DE,3.229,38.553700,-75.563100
79,DELAWARE TRUCK PLAZA,US-13 & US-40,New Castle,DE,3.249,39.606500,-75.604933
81,One9 #89,"I-75, EXIT 224",Ellenton,FL,3.439,27.538200,-82.500600
85,DOWNIEVILLE FUEL STOP,"I-70, EXIT 234",Dumont,CO,3.459,39.764700,-105.600300
91,MOLLYS FOOD & FUEL,"I-20 & ST 22, EXIT 55",Crawfordville,GA,3.499,33.570800,-82.887200
105,TA SAGINAW I 75 TRAVEL CENTER,"I-75, EXIT 144-B",Bridgeport,MI,3.269,43.355300,-83.854900
105,TA SAGINAW I 75 TRAVEL CENTER,"I-75, EXIT 144-B",Bridgeport,MI,3.339,43.355300,-83.854900
105,TA SAGINAW I 75 TRAVEL CENTER,"I-75, EXIT 144-B",Bridgeport,MI,3.429,43.355300,-83.854900
105,TA SAGINAW I 75 TRAVEL CENTER,"I-75, EXIT 144-B",Bridgeport,MI,3.289,43.355300,-83.854900
105,TA SAGINAW I 75 TRAVEL CENTER,"I-75, EXIT 144-B",Bridgeport,MI,3.399,43.355300,-83.854900
105,TA SAGINAW I 75 TRAVEL CENTER,"I-75, EXIT 144-B",Bridgeport,MI,3.299,43.355300,-83.854900
118,Lupton Truck Stop #567,"I-40, EXIT 359",Lupton,AZ,3.299,35.353900,-109.053700
121,PETRO STOPPING CENTER #306,"I-10, EXIT 200",Eloy,AZ,3.474,32.750900,-111.583300
127,CIRCLE K #4700095,US-41,Henderson,KY,3.609,37.817300,-87.581150
128,THE EFFINGHAM CHROME SHOP,"I-57 & I-70, EXIT 159",Effingham,IL,3.399,39.121700,-88.561100
128,THE EFFINGHAM CHROME SHOP,"I-57 & I-70, EXIT 159",Effingham,IL,3.349,39.121700,-88.561100
128,THE EFFINGHAM CHROME SHOP,"I-57 & I-70, EXIT 159",Effingham,IL,3.549,39.121700,-88.561100
135,LOVES TRAVEL STOP #766,"I-80, EXIT 27",Atkinson,IL,3.589,41.416200,-90.022500
135,LOVES TRAVEL STOP #766,"I-80, EXIT 27",Atkinson,IL,3.389,41.416200,-90.022500
135,LOVES TRAVEL STOP #766,"I-80, EXIT 27",Atkinson,IL,3.449,41.416200,-90.022500
147,SPEEDWAY #8039,"I-69, EXIT 234 & SR-67",Daleville,IN,3.624,40.125700,-85.511000
149,RAYS TRUCK WASH,"I-69, EXIT 309 & US-30",Fort Wayne,IN,3.59233333,41.089977,-85.100156
151,CUBBYS #2101,"I-80, EXIT 211 & SR-47",Gothenburg,NE,3.13233333,40.940000,-100.154700
159,PILOT TRAVEL CENTER #87,"I-10, EXIT 343",Jacksonville,FL,3.859,30.311931,-81.653317
159,PILOT TRAVEL CENTERS #87,"I-10, EXIT 343",Jacksonville,FL,3.859,30.311931,-81.653317
160,PILOT TRAVEL CENTERS #79,"I-12, EXIT 10 AT MILE 10",Denham Springs,LA,3.23233333,30.468333,-90.883300
164,FLYING J TRAVEL PLAZA #650,"I-94, EXIT 15 B",Lake Station,IN,3.809,41.568600,-87.262200
167,FLYING J TRAVEL PLAZA #653,RT 2 & I-65 EXIT 240,Hebron,IN,3.43566666,41.315500,-87.208800
174,Hop-In Food Stores,US-59 & SR-224,Nacogdoches,TX,2.859,31.651680,-94.616300
184,SAPP BROS TRAVEL CENTER,"I-29 & I-80, EXIT 1B",Council Bluffs,IA,3.719,41.251967,-95.853667
186,COFFEE CUP FUEL STOP #5,"I-90, EXIT 154 & US-16",Moorcroft,WY,3.239,44.415400,-104.838900
187,DUDLEYS CORNER,"I-35, EXIT 165 & SR-3",Latimer,IA,3.23233333,42.759800,-93.351800
191,KUM & GO #0302,"I-35, EXIT 193 & SR 106",Clear Lake,IA,3.18566666,43.140600,-93.385000
192,Brew Stuart Truckstop,"I-80, EXIT 93",Stuart,IA,3.099,41.503300,-94.318600
195,PETRO STOPPING CENTER #311,"I-40 & I-55, EXIT 280",West Memphis,AR,3.36733333,35.147450,-90.181200
198,SINCLAIR,"I-76, EXIT 115",Atwood,CO,3.299,40.508200,-103.274900
199,PETRO STOPPING CENTER #366,"I-70, EXIT 252",Salina,KS,3.80566666,38.832000,-97.626750
203,PILOT TRAVEL CENTER #31,"I-80/94, EXIT 2",Highland,IN,3.829,41.550000,-87.456900
203,PILOT TRAVEL CENTERS #31,"I-80/94, EXIT 2",Highland,IN,3.799,41.550000,-87.456900
207,MARATHON,SR-32,Sardinia,OH,3.56566666,38.983200,-83.796600
216,CIRCLE K #2721593,"I-10, EXIT 50",Ocean Springs,MS,3.41566666,30.425850,-88.803950
217,NORTH 9TH 24/7,"I-70, EXIT 252",Salina,KS,3.02566666,38.832000,-97.626750
231,DERBY CITYS TRUCK PLAZA,"I-75, EXIT 62 & US-25",Mount Vernon,KY,2.999,37.398300,-84.337900
235,PILOT TRAVEL CENTERS #92,"I-75, EXIT 358",Ocala,FL,3.359,29.170300,-82.148907
235,PILOT TRAVEL CENTER #92,"I-75, EXIT 358",Ocala,FL,3.41233333,29.170300,-82.148907
240,LA 1 SOUTH TRUCKSTOP,"I-10, EXIT 153 & SR-1",Port Allen,LA,3.039,30.472000,-91.254100
243,SAVE,US-41 & SR-10,Lake Village,IN,3.179,41.138700,-87.445400
244,BIG D TRUCK TRAVEL PLAZA,"I-10, EXIT 92 & SR-95",Duson,LA,2.98233333,30.191200,-92.152500
248,Mardi Gras Truck Stop,"I-10, EXIT 236",New Orleans,LA,3.729,29.957052,-90.070359
250,GOLDEN OX TRUCK STOP,"I-70/US-40, EXIT 159 & US-183",Hays,KS,3.499,38.878200,-99.334800
253,LOVES TRAVEL STOP #450,"I-40, EXIT 280 & I-55, EXIT 4",West Memphis,AR,3.32566666,35.147450,-90.181200
256,BFS FOODS #66,"I-68/US-40, EXIT 22 & US-219",Grantsville,MD,3.899,39.655100,-79.124100
257,PILOT TRAVEL CENTER #917- TOWN PUMP,I-15 & 31ST STREET EXIT 277,Great Falls,MT,3.63566666,47.526960,-111.280840
263,CASEYS #3956,I-94 EXIT 16,Bridgman,MI,3.559,41.936200,-86.554300
267,CORNER MARKET #117,SR-154 & SR-129,Dodge City,KS,3.399,37.756900,-100.024100
269,PILOT TRAVEL CENTERS #24,"I-75, EXIT 15",Monroe,MI,3.299,41.918650,-83.458350
269,PILOT TRAVEL CENTERS #24,"I-75, EXIT 15",Monroe,MI,3.249,41.918650,-83.458350
269,PILOT TRAVEL CENTERS #24,"I-75, EXIT 15",Monroe,MI,3.439,41.918650,-83.458350
269,PILOT TRAVEL CENTERS #24,"I-75, EXIT 15",Monroe,MI,3.349,41.918650,-83.458350
269,PILOT TRAVEL CENTERS #24,"I-75, EXIT 15",Monroe,MI,3.559,41.918650,-83.458350
278,CARLISLE PLAZA,US-41,Carlisle,IN,3.499,38.976300,-87.366700
281,CIRCLE K #4700065,"I-65, EXIT 76 & US-31",Taylorsville,IN,3.399,39.295300,-85.949800
289,LOVES TRAVEL STOP #173,"I-70, MM 209",Lawrence,KS,3.229,38.967180,-95.251060
292,PETES #56,US-169 & CR-5000,Cherryvale,KS,3.23233333,37.266800,-95.559000
293,LOVES TRAVEL STOP #176,"I-35, MILE MARKER 97",Matfield Green,KS,3.25566666,38.144800,-96.554100
304,FL Roberts,"I-91, EXIT 4",Springfield,MA,3.599,42.124379,-72.572732
309,QUIKTRIP #231,"I-635, EXIT 3",Kansas City,KS,3.199,39.104587,-94.692920
323,SAPP BROS TRAVEL CENTER,"I-80, EXIT 126",Ogallala,NE,3.46566666,41.127500,-101.710700
326,FLYING J TRAVEL PLAZA #748,"I-15, EXIT 357",Willard,UT,3.749,41.398900,-112.031700
341,TA JACKSONVILLE SOUTH TRAVEL CENTER,"I-95, EXIT 329",Saint Johns,FL,3.469,30.081500,-81.547700
347,7-ELEVEN #40514,I-90/80-IN TOLL RD MM 22E,Portage,IN,3.99066666,41.567200,-87.175700
358,TA BINGHAMTON TRAVELCENTER,"I-81N, EXIT 2W & I-81S, EXIT 3",Binghamton,NY,3.769,42.113000,-75.893600
358,TA BINGHAMTON TRAVELCENTER,"I-81N, EXIT 2W & I-81S, EXIT 3",Binghamton,NY,3.689,42.113000,-75.893600
358,TA BINGHAMTON TRAVELCENTER,"I-81N, EXIT 2W & I-81S, EXIT 3",Binghamton,NY,3.699,42.113000,-75.893600
358,TA BINGHAMTON TRAVELCENTER,"I-81N, EXIT 2W & I-81S, EXIT 3",Binghamton,NY,3.739,42.113000,-75.893600
361,CIRCLE K #2726293,"I-295, EXIT 25",Jacksonville,FL,3.31566666,30.311931,-81.653317
368,WILTON TRAVEL PLAZA,"I-87, EXIT 16",Gansevoort,NY,3.749,43.180300,-73.705300
368,WILTON TRAVEL PLAZA,"I-87, EXIT 16",Gansevoort,NY,3.799,43.180300,-73.705300
372,GAS DEPOT,"I-94, EXIT 5",Hammond,IN,3.999,41.575180,-87.469720
381,7-Eleven #41830,US-69 & US-135,Jacksonville,TX,2.91566666,31.961800,-95.270300
387,Circle K #2709664,"I-8, EXIT 12",Yuma,AZ,3.489,32.680540,-114.558540
388,Pilot Travel Centers #14,"I-71, EXIT 131",Sunbury,OH,3.719,40.265500,-82.851100
391,PILOT TRAVEL CENTERS #13,"I-71, EXIT 209",Seville,OH,3.699,41.022700,-81.856200
403,TRUCKOMAT OF HEBRON,"I-70, EXIT 126 & SR-37",Hebron,OH,3.429,39.953500,-82.491900
407,FUEL MART #641,"I-80 & I-280, EXIT 71",Perrysburg,OH,3.499,41.549950,-83.609950
421,PETRO STOPPING CENTER #316,"I-40 & I-35, EXIT 127",Oklahoma City,OK,3.30233333,35.494951,-97.488642
424,E EXPRESS,"I-40, EXIT 166",Choctaw,OK,2.899,35.471800,-97.272600
425,Neighbors Express,"I-16, EXIT 51",Dublin,GA,3.299,32.499700,-82.926550
442,WESTERN COOP,US-385 & SR-2,Alliance,NE,3.324,42.114900,-102.888000
455,MR FUEL #753,"I-95, EXIT 104 & SR-207",Ruther Glen,VA,3.26566666,37.945100,-77.471400
456,THE COUNTRY OASIS,US-24,Woodburn,IN,3.399,41.125300,-84.853300
458,HAPPY HILLS GAS & COFFEE,I-29 EXIT 110,Rock Port,MO,3.399,40.430600,-95.527400
460,TRUCK STOP 44,I-20 EXIT 44,Gilbert,SC,3.079,33.958100,-81.391400
461,SPINX #271,"I-26, EXIT 145 & US-601",Orangeburg,SC,3.26233333,33.514425,-80.866075
469,LOAF N JUG #750010,US-160 & SR-17,Alamosa,CO,3.259,37.473150,-105.880200
474,KEWANEE 1 STOP,"I-20, EXIT 169 & US-80",Toomsuba,MS,3.299,32.429600,-88.489200
478,GASTRAK OF PEMBINA,"I-29, EXIT 215",Pembina,ND,3.299,48.859000,-97.288600
483,ALLSUPS #2387,US-54/SR-136/SR-3 & US-64,Guymon,OK,2.97566666,36.696100,-101.477800
486,LA NORIA CONV STORES,"I-35 N, EXIT 4",Laredo,TX,3.299,27.518557,-99.461743
489,EDDIES CORNER,US-87 & US-191,Moore,MT,3.749,46.975500,-109.696900
491,One9 #403,"I-75, EXIT 117",Heiskell,TN,2.999,36.115000,-84.043800
496,PILOT TRAVEL CENTERS #270,"I-40 & I-75, EXIT 374",Knoxville,TN,3.439,35.971652,-83.964548
509,LOVES TRAVEL STOPS #256,"I-10, EXIT 140B",Van Horn,TX,3.649,31.039100,-104.824500
509,LOVES TRAVEL STOP #256,"I-10, EXIT 140B",Van Horn,TX,3.649,31.039100,-104.824500
522,GO MART FOOD STORE #57,"I-70 & ST-285, EXIT 186",Lore City,OH,3.179,40.045900,-81.447900
